,ID,Cluster
1022,766193507,2
1023,766193508,2
1024,766193509,4
1025,766193510,3
1026,766193511,1
1027,766193512,4
1028,766193513,4
1029,766193514,3
1030,766193515,3
1031,766193516,3
1032,766193517,1
1033,766193518,0
1034,766193519,4
1035,766193520,3
1036,766193521,4
1037,766193522,4
1038,766193523,4
1039,766193524,3
1040,766193525,4
1041,766193526,3
1042,766193527,2
1043,766193528,3
1044,766193529,3
1045,766193530,3
1046,766193531,4
1047,766193532,0
1048,766193533,3
1049,766193534,4
1050,766193535,3
1051,766193536,2
1052,766193537,2
1053,766193538,3
1054,766193539,2
1055,766193540,4
1056,766193541,4
1057,766193542,0
1058,766193543,0
1059,766193544,0
1060,766193545,3
1061,766193546,3
1062,766193547,3
1063,766193548,2
1064,766193549,1
1065,766193550,2
1066,766193551,4
1067,766193552,1
1068,766193553,3
1069,766193554,2
1070,766193555,4
1071,766193556,2
1072,766193557,0
1073,766193558,3
1074,766193559,2
1075,766193560,2
1076,766193561,3
1077,766193562,3
1078,766193563,2
1079,766193564,2
1080,766193565,2
1081,766193566,0
1082,766193567,1
1083,766193568,2
1084,766193569,0
1085,766193570,1
1086,766193571,3
1087,766193572,4
1088,766193573,4
1089,766193574,3
1090,766193575,2
1091,766193576,3
1092,766193577,3
1093,766193578,3
1094,766193579,4
1095,766193580,0
1096,766193581,4
1097,766193582,4
1098,766193583,0
1099,766193584,3
1100,766193585,4
1101,766193586,4
1102,766193587,0
1103,766193588,3
1104,766193589,1
1105,766193590,1
1106,766193591,2
1107,766193592,1
1108,766193593,0
1109,766193594,0
1110,766193595,2
1111,766193596,3
1112,766193597,3
1113,766193598,4
1114,766193599,3
1115,766193600,4
1116,766193601,3
1117,766193602,3
1118,766193603,4
1119,766193604,3
1120,766193605,3
1121,766193606,4
1122,766193607,1
1123,766193608,1
1124,766193609,1
1125,766193610,1
1126,766193611,4
1127,766193612,2
1128,766193613,0
1129,766193614,2
1130,766193615,1
1131,766193616,2
1132,766193617,4
1133,766193618,4
1134,766193619,3
1135,766193620,3
1136,766193621,3
1137,766193622,3
1138,766193623,1
1139,766193624,4
1140,766193625,3
1141,766193626,3
1142,766193627,2
1143,766193628,0
1144,766193629,3
1145,766193630,1
1146,766193631,4
1147,766193632,4
1148,766193633,0
1149,766193634,4
1150,766193635,3
1151,766193636,3
1152,766193637,0
1153,766193638,4
1154,766193639,0
1155,766193640,2
1156,766193641,3
1157,766193642,2
1158,766193643,1
1159,766193644,4
1160,766193645,1
1161,766193646,4
1162,766193647,3
1163,766193648,3
1164,766193649,0
1165,766193650,2
1166,766193651,3
1167,766193652,4
1168,766193653,3
1169,766193654,3
1170,766193655,4
1171,766193656,3
1172,766193657,3
1173,766193658,2
1174,766193659,3
1175,766193660,4
1176,766193661,4
1177,766193662,4
1178,766193663,4
1179,766193664,0
1180,766193665,4
1181,766193666,1
1182,766193667,3
1183,766193668,3
1184,766193669,2
1185,766193670,3
1186,766193671,4
1187,766193672,0
1188,766193673,4
1189,766193674,4
1190,766193675,0
1191,766193676,3
1192,766193677,4
1193,766193678,1
1194,766193679,4
1195,766193680,2
1196,766193681,4
1197,766193682,2
1198,766193683,3
1199,766193684,3
1200,766193685,4
1201,766193686,4
1202,766193687,1
1203,766193688,4
1204,766193689,4
1205,766193690,0
1206,766193691,4
1207,766193692,2
1208,766193693,4
1209,766193694,0
1210,766193695,2
1211,766193696,1
1212,766193697,4
1213,766193698,2
1214,766193699,3
1215,766193700,1
1216,766193701,0
1217,766193702,3
1218,766193703,3
1219,766193704,2
1220,766193705,2
1221,766193706,4
1222,766193707,1
1223,766193708,3
1224,766193709,4
1225,766193710,2
1226,766193711,2
1227,766193712,4
1228,766193713,2
1229,766193714,1
1230,766193715,2
1231,766193716,3
1232,766193717,3
1233,766193718,3
1234,766193719,3
1235,766193720,4
1236,766193721,3
1237,766193722,3
1238,766193723,2
1239,766193724,3
1240,766193725,4
1241,766193726,4
1242,766193727,3
1243,766193728,3
1244,766193729,1
1245,766193730,4
1246,766193731,3
1247,766193732,4
1248,766193733,2
1249,766193734,4
1250,766193735,4
1251,766193736,4
1252,766193737,2
1253,766193738,2
1254,766193739,0
1255,766193740,3
1256,766193741,1
1257,766193742,4
1258,766193743,2
1259,766193744,1
1260,766193745,3
1261,766193746,2
1262,766193747,2
1263,766193748,4
1264,766193749,4
1265,766193750,3
1266,766193751,3
1267,766193752,2
1268,766193753,3
1269,766193754,2
1270,766193755,4
1271,766193756,0
1272,766193757,2
1273,766193758,0
1274,766193759,4
1275,766193760,2
1276,766193761,1
1277,766193762,0
1278,766193763,3
1279,766193764,0
1280,766193765,3
1281,766193766,4
1282,766193767,3
1283,766193768,2
1284,766193769,3
1285,766193770,4
1286,766193771,4
1287,766193772,1
1288,766193773,4
1289,766193774,3
1290,766193775,4
1291,766193776,2
1292,766193777,3
1293,766193778,3
1294,766193779,4
1295,766193780,4
1296,766193781,4
1297,766193782,3
1298,766193783,1
1299,766193784,3
1300,766193785,4
1301,766193786,4
1302,766193787,0
1303,766193788,2
1304,766193789,4
1305,766193790,4
1306,766193791,0
1307,766193792,4
1308,766193793,1
1309,766193794,4
1310,766193795,3
1311,766193796,0
1312,766193797,3
1313,766193798,1
1314,766193799,2
1315,766193800,0
1316,766193801,4
1317,766193802,2
1318,766193803,3
1319,766193804,2
1320,766193805,0
1321,766193806,4
1322,766193807,3
1323,766193808,2
1324,766193809,3
1325,766193810,2
1326,766193811,4
1327,766193812,4
1328,766193813,4
1329,766193814,2
1330,766193815,3
1331,766193816,4
1332,766193817,1
1333,766193818,3
1334,766193819,1
1335,766193820,3
1336,766193821,0
1337,766193822,1
1338,766193823,4
1339,766193824,1
1340,766193825,2
1341,766193826,0
1342,766193827,4
1343,766193828,4
1344,766193829,4
1345,766193830,3
1346,766193831,3
1347,766193832,4
1348,766193833,3
1349,766193834,3
1350,766193835,4
1351,766193836,3
1352,766193837,1
1353,766193838,4
1354,766193839,3
1355,766193840,2
1356,766193841,4
1357,766193842,3
1358,766193843,3
1359,766193844,2
1360,766193845,2
1361,766193846,0
1362,766193847,4
1363,766193848,1
1364,766193849,3
1365,766193850,4
1366,766193851,4
1367,766193852,1
1368,766193853,3
1369,766193854,4
1370,766193855,0
1371,766193856,2
1372,766193857,2
1373,766193858,3
1374,766193859,3
1375,766193860,4
1376,766193861,1
1377,766193862,4
1378,766193863,3
1379,766193864,4
1380,766193865,4
1381,766193866,3
1382,766193867,4
1383,766193868,0
1384,766193869,4
1385,766193870,2
1386,766193871,4
1387,766193872,4
1388,766193873,0
1389,766193874,3
1390,766193875,3
1391,766193876,4
1392,766193877,2
1393,766193878,2
1394,766193879,4
1395,766193880,4
1396,766193881,2
1397,766193882,2
1398,766193883,4
1399,766193884,0
1400,766193885,4
1401,766193886,3
1402,766193887,1
1403,766193888,3
1404,766193889,1
1405,766193890,4
1406,766193891,4
1407,766193892,4
1408,766193893,4
1409,766193894,4
1410,766193895,3
1411,766193896,1
1412,766193897,3
1413,766193898,3
1414,766193899,4
1415,766193900,3
1416,766193901,3
1417,766193902,1
1418,766193903,3
1419,766193904,0
1420,766193905,0
1421,766193906,3
1422,766193907,4
1423,766193908,4
1424,766193909,1
1425,766193910,0
1426,766193911,3
1427,766193912,4
1428,766193913,3
1429,766193914,3
1430,766193915,3
1431,766193916,4
1432,766193917,2
1433,766193918,4
1434,766193919,4
1435,766193920,3
1436,766193921,4
1437,766193922,2
1438,766193923,0
1439,766193924,2
1440,766193925,1
1441,766193926,2
1442,766193927,1
1443,766193928,4
1444,766193929,2
1445,766193930,4
1446,766193931,3
1447,766193932,1
1448,766193933,4
1449,766193934,1
1450,766193935,3
1451,766193936,4
1452,766193937,3
1453,766193938,0
1454,766193939,4
1455,766193940,2
1456,766193941,4
1457,766193942,4
1458,766193943,3
1459,766193944,0
1460,766193945,4
1461,766193946,4
1462,766193947,4
1463,766193948,0
1464,766193949,4
1465,766193950,0
1466,766193951,4
1467,766193952,4
1468,766193953,3
1469,766193954,1
1470,766193955,3
1471,766193956,1
1472,766193957,3
1473,766193958,3
1474,766193959,0
1475,766193960,1
1476,766193961,0
1477,766193962,2
1478,766193963,4
1479,766193964,4
1480,766193965,4
1481,766193966,3
1482,766193967,4
1483,766193968,4
1484,766193969,4
1485,766193970,4
1486,766193971,3
1487,766193972,4
1488,766193973,1
1489,766193974,2
1490,766193975,1
1491,766193976,3
1492,766193977,4
1493,766193978,4
1494,766193979,0
1495,766193980,4
1496,766193981,4
1497,766193982,2
1498,766193983,3
1499,766193984,4
1500,766193985,4
1501,766193986,3
1502,766193987,3
1503,766193988,3
1504,766193989,0
1505,766193990,2
1506,766193991,3
1507,766193992,4
1508,766193993,4
1509,766193994,4
1510,766193995,4
1511,766193996,3
1512,766193997,4
1513,766193998,3
1514,766193999,4
1515,766194000,1
1516,766194001,0
1517,766194002,2
1518,766194003,4
1519,766194004,3
1520,766194005,1
1521,766194006,3
1522,766194007,3
1523,766194008,4
1524,766194009,4
1525,766194010,1
1526,766194011,4
1527,766194012,2
1528,766194013,1
1529,766194014,4
1530,766194015,2
1531,766194016,2
1532,766194017,4
1533,766194018,4
1534,766194019,3
1535,766194020,4
1536,766194021,3
1537,766194022,3
1538,766194023,4
1539,766194024,3
1540,766194025,2
1541,766194026,0
1542,766194027,4
1543,766194028,4
1544,766194029,4
1545,766194030,4
1546,766194031,3
1547,766194032,1
1548,766194033,3
1549,766194034,0
1550,766194035,0
1551,766194036,3
1552,766194037,3
1553,766194038,3
1554,766194039,2
1555,766194040,1
1556,766194041,4
1557,766194042,3
1558,766194043,2
1559,766194044,0
1560,766194045,1
1561,766194046,3
1562,766194047,4
1563,766194048,3
1564,766194049,3
1565,766194050,2
1566,766194051,4
1567,766194052,1
