,ID,Cluster
1000,766193485,0
1001,766193486,1
1002,766193487,3
1003,766193488,1
1004,766193489,1
1005,766193490,1
1006,766193491,3
1007,766193492,3
1008,766193493,3
1009,766193494,3
1010,766193495,1
1011,766193496,3
1012,766193497,1
1013,766193498,3
1014,766193499,3
1015,766193500,3
1016,766193501,3
1017,766193502,1
1018,766193503,1
1019,766193504,3
1020,766193505,1
1021,766193506,3
1022,766193507,3
1023,766193508,1
1024,766193509,3
1025,766193510,1
1026,766193511,3
1027,766193512,3
1028,766193513,3
1029,766193514,1
1030,766193515,1
1031,766193516,1
1032,766193517,3
1033,766193518,1
1034,766193519,3
1035,766193520,1
1036,766193521,3
1037,766193522,1
1038,766193523,3
1039,766193524,1
1040,766193525,3
1041,766193526,3
1042,766193527,3
1043,766193528,3
1044,766193529,0
1045,766193530,3
1046,766193531,3
1047,766193532,3
1048,766193533,3
1049,766193534,1
1050,766193535,3
1051,766193536,3
1052,766193537,3
1053,766193538,3
1054,766193539,3
1055,766193540,1
1056,766193541,3
1057,766193542,1
1058,766193543,3
1059,766193544,1
1060,766193545,3
1061,766193546,3
1062,766193547,3
1063,766193548,3
1064,766193549,1
1065,766193550,1
1066,766193551,3
1067,766193552,1
1068,766193553,1
1069,766193554,1
1070,766193555,3
1071,766193556,1
1072,766193557,1
1073,766193558,3
1074,766193559,0
1075,766193560,3
1076,766193561,1
1077,766193562,3
1078,766193563,1
1079,766193564,1
1080,766193565,1
1081,766193566,3
1082,766193567,1
1083,766193568,1
1084,766193569,3
1085,766193570,1
1086,766193571,0
1087,766193572,3
1088,766193573,1
1089,766193574,1
1090,766193575,1
1091,766193576,1
1092,766193577,1
1093,766193578,1
1094,766193579,3
1095,766193580,3
1096,766193581,1
1097,766193582,1
1098,766193583,3
1099,766193584,1
1100,766193585,0
1101,766193586,3
1102,766193587,3
1103,766193588,3
1104,766193589,1
1105,766193590,1
1106,766193591,1
1107,766193592,1
1108,766193593,3
1109,766193594,3
1110,766193595,3
1111,766193596,1
1112,766193597,1
1113,766193598,3
1114,766193599,1
1115,766193600,3
1116,766193601,1
1117,766193602,1
1118,766193603,3
1119,766193604,3
1120,766193605,1
1121,766193606,3
1122,766193607,1
1123,766193608,1
1124,766193609,1
1125,766193610,1
1126,766193611,3
1127,766193612,3
1128,766193613,1
1129,766193614,3
1130,766193615,1
1131,766193616,1
1132,766193617,3
1133,766193618,1
1134,766193619,1
1135,766193620,1
1136,766193621,3
1137,766193622,1
1138,766193623,1
1139,766193624,3
1140,766193625,3
1141,766193626,3
1142,766193627,1
1143,766193628,0
1144,766193629,3
1145,766193630,3
1146,766193631,1
1147,766193632,3
1148,766193633,3
1149,766193634,1
1150,766193635,1
1151,766193636,1
1152,766193637,3
1153,766193638,3
1154,766193639,1
1155,766193640,3
1156,766193641,1
1157,766193642,3
1158,766193643,3
1159,766193644,3
1160,766193645,1
1161,766193646,3
1162,766193647,0
1163,766193648,1
1164,766193649,1
1165,766193650,1
1166,766193651,3
1167,766193652,1
1168,766193653,3
1169,766193654,1
1170,766193655,1
1171,766193656,1
1172,766193657,3
1173,766193658,1
1174,766193659,3
1175,766193660,3
1176,766193661,3
1177,766193662,3
1178,766193663,3
1179,766193664,1
1180,766193665,3
1181,766193666,3
1182,766193667,3
1183,766193668,3
1184,766193669,3
1185,766193670,1
1186,766193671,3
1187,766193672,1
1188,766193673,1
1189,766193674,1
1190,766193675,3
1191,766193676,1
1192,766193677,3
1193,766193678,1
1194,766193679,3
1195,766193680,3
1196,766193681,1
1197,766193682,3
1198,766193683,1
1199,766193684,1
1200,766193685,3
1201,766193686,3
1202,766193687,1
1203,766193688,3
1204,766193689,1
1205,766193690,3
1206,766193691,1
1207,766193692,3
1208,766193693,3
1209,766193694,3
1210,766193695,3
1211,766193696,3
1212,766193697,3
1213,766193698,3
1214,766193699,3
1215,766193700,1
1216,766193701,1
1217,766193702,3
1218,766193703,1
1219,766193704,3
1220,766193705,3
1221,766193706,3
1222,766193707,1
1223,766193708,1
1224,766193709,1
1225,766193710,3
1226,766193711,3
1227,766193712,3
1228,766193713,3
1229,766193714,3
1230,766193715,1
1231,766193716,3
1232,766193717,3
1233,766193718,1
1234,766193719,3
1235,766193720,3
1236,766193721,1
1237,766193722,3
1238,766193723,3
1239,766193724,3
1240,766193725,3
1241,766193726,3
1242,766193727,3
1243,766193728,3
1244,766193729,1
1245,766193730,3
1246,766193731,3
1247,766193732,3
1248,766193733,3
1249,766193734,3
1250,766193735,3
1251,766193736,3
1252,766193737,3
1253,766193738,0
1254,766193739,3
1255,766193740,1
1256,766193741,1
1257,766193742,3
1258,766193743,0
1259,766193744,1
1260,766193745,1
1261,766193746,1
1262,766193747,3
1263,766193748,3
1264,766193749,1
1265,766193750,1
1266,766193751,3
1267,766193752,3
1268,766193753,1
1269,766193754,1
1270,766193755,3
1271,766193756,1
1272,766193757,0
1273,766193758,3
1274,766193759,3
1275,766193760,3
1276,766193761,0
1277,766193762,1
1278,766193763,1
1279,766193764,1
1280,766193765,1
1281,766193766,3
1282,766193767,3
1283,766193768,3
1284,766193769,1
1285,766193770,3
1286,766193771,3
1287,766193772,0
1288,766193773,3
1289,766193774,1
1290,766193775,3
1291,766193776,3
1292,766193777,1
1293,766193778,3
1294,766193779,1
1295,766193780,3
1296,766193781,3
1297,766193782,3
1298,766193783,1
1299,766193784,1
1300,766193785,1
1301,766193786,3
1302,766193787,3
1303,766193788,3
1304,766193789,3
